No,Question,Answer,Checking Result,Source
,Bagaimana dengan pelaksanaan pengenaan sanksi terhadap Pelapor baru?,Pengenaan sanksi terhadap Pelapor baru mulai berlaku 9 (sembilan) bulan sejak batas waktu yang ditetapkan dalam peraturan.,"Correct 
Bagi Pelapor baru, pelaksanaan pengenaan sanksi sebagaimana dimaksud dalam Pasal 33 ayat (1) huruf a, Pasal 33 ayat (2) huruf a, Pasal 34 ayat (1), Pasal 34 ayat (2), dan Pasal 34 ayat (3) huruf a, mulai berlaku 9 (sembilan) bulan sejak batas waktu sebagaimana dimaksud dalam Pasal 6.","SAL POJK SLIK
Page 24  Paragraph 2"
,"Apa yang dimaksud dengan ""keadaan kahar (force majeure)"" dalam peraturan ini?","Keadaan kahar (force majeure) merujuk pada situasi yang tidak dapat dihindari atau tidak dapat dikontrol, seperti bencana alam, yang mengganggu kegiatan operasional Pelapor.","Correct 
Yang dimaksud dengan “keadaan kahar (force majeure)” antara lain kebakaran, kerusuhan massa, perang, konflik bersenjata, sabotase serta bencana alam seperti banjir dan gempa bumi yang mengganggu kegiatan operasional Pelapor, yang dibenarkan oleh pejabat instansi yang berwenang dari daerah setempat.

Note:
The answer needs to be added: “yang dibenarkan oleh pejabat instansi yang berwenang dari daerah setempat.”","SAL POJK SLIK
Page 37  Paragraph 4
Number 1"
,Bagaimana dengan keterlambatan dalam penyampaian Laporan Debitur?,Keterlambatan dalam penyampaian Laporan Debitur akan dikenakan sanksi administratif berupa denda tergantung pada aset Pelapor dan lama keterlambatan.,"Correct 
1) Pelapor yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 8 ayat (1) dan dinyatakan terlambat menyampaikan Laporan Debitur sebagaimana dimaksud dalam Pasal 9 ayat (1) atau Pasal 10 ayat (3) dikenakan sanksi administratif berupa:
a. denda
1. bagi Pelapor dengan aset paling sedikit Rp500.000.000.000,00 (lima ratus miliar rupiah), sebesar Rp1.000.000,00 (satu juta rupiah) per hari kerja keterlambatan; atau
2. bagi Pelapor dengan aset kurang dari Rp500.000.000.000,00 (lima ratus miliar rupiah), sebesar Rp100.000,00 (seratus ribu rupiah) per hari kerja keterlambatan, dan
b. penundaan pemberian Informasi Debitur sampai dengan Laporan Debitur diterima oleh OJK.

Note:
The answer does not contain point b.","SAL POJK SLIK
Page 20  Paragraph 3
Number 1"
,Bagaimana dengan pengenaan sanksi terhadap Pelapor yang tidak menyampaikan Laporan Debitur sama sekali?,Pelapor yang tidak menyampaikan Laporan Debitur sama sekali akan dikenakan sanksi administratif berupa denda dan penundaan pemberian Informasi Debitur.,"Correct 
(2) Pelapor yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 8 ayat (1) dan dinyatakan tidak menyampaikan Laporan Debitur sebagaimana dimaksud dalam Pasal 9 ayat (2) dikenakan sanksi administratif berupa:
a. denda
1. bagi Pelapor dengan aset paling sedikit Rp500.000.000.000,00 (lima ratus miliar rupiah), sebesar Rp50.000.000,00 (lima puluh juta rupiah) per bulan Laporan Debitur dan paling lama 12 (dua belas) bulan Laporan Debitur secara berturut-turut; atau
2. bagi Pelapor dengan aset kurang dari Rp500.000.000.000,00 (lima ratus miliar rupiah), sebesar Rp5.000.000,00 (lima juta rupiah) per bulan Laporan Debitur dan paling lama 12 (dua belas) bulan Laporan Debitur secara berturut-turut; dan
b. penundaan pemberian Informasi Debitur sampai dengan seluruh Laporan Debitur diterima oleh OJK.","SAL POJK SLIK
Page 21  Paragraph 1
Number 2"
,Siapa yang dapat menjadi pegawai pelaksana dalam penyampaian Laporan Debitur?,"Pegawai pelaksana adalah pegawai atau pejabat yang ditunjuk untuk menyampaikan Laporan Debitur, melakukan verifikasi, mengajukan permintaan dan menerima Informasi Debitur, dan melakukan administrasi dan pengelolaan hak akses pengguna SLIK.","Correct 
1) Pelapor wajib menunjuk pegawai pelaksana dan/atau pejabat yang mencakup fungsi untuk:
a. menyampaikan Laporan Debitur;
b. melakukan verifikasi Laporan Debitur;
c. mengajukan permintaan dan menerima Informasi Debitur;
d. melakukan administrasi dan pengelolaan hak akses pengguna SLIK di internal Pelapor;
e. menangani pengaduan Debitur; dan
f. melakukan pengamanan data Informasi Debitur.

Note:
The answer does not contain point e and f.","SAL POJK SLIK
Page 18  Paragraph 3
Number 1"
,Bagaimana dengan permintaan Informasi Debitur oleh pihak lain?,"Permintaan Informasi Debitur oleh pihak lain dapat dilakukan secara rutin atau insidental, dengan memenuhi persyaratan tertentu seperti permohonan secara tertulis dan tanggung jawab atas penggunaan informasi.","Correct 
(2) Permintaan Informasi Debitur oleh pihak lain sebagaimana dimaksud pada ayat (1) dapat dilakukan secara:
a. rutin; dan/atau
b. insidental.
(4) Permintaan Informasi Debitur oleh pihak lain secara insidental sebagaimana dimaksud pada ayat (2) huruf b dilakukan dengan memenuhi persyaratan:
a. permohonan Informasi Debitur disampaikan secara tertulis kepada OJK oleh pihak yang memiliki kewenangan, dengan menyampaikan peruntukan penggunaan Informasi Debitur; dan
b. pemohon menyatakan bertanggung jawab terhadap segala akibat yang timbul berkaitan dengan penggunaan Informasi Debitur.","SAL POJK SLIK
Page 20  Paragraph 4
Number 2 and 4"
,"Apa yang dimaksud dengan ""prinsip pemisahan tugas (segregation of duties)"" dalam peraturan ini?",Prinsip pemisahan tugas (segregation of duties) merujuk pada praktik memisahkan tugas dan wewenang antara berbagai unit kerja atau pegawai dalam organisasi untuk mengurangi risiko kecurangan dan kesalahan internal.,"Correct 
Yang dimaksud dengan “prinsip pemisahan tugas (segregation of duties)” antara lain pemisahan tugas antara satuan kerja atau unit yang melakukan penyampaian Laporan Debitur, verifikasi Laporan Debitur dengan satuan kerja atau unit yang melaksanakan fungsi penyelesaian pengaduan Debitur.

Note: 
The answer “untuk mengurangi risiko kecurangan dan kesalahan internal.” is not in the document.","SAL POJK SLIK
Page 42  
Pasal 30 Ayat (2)"
,Siapa yang dimaksud dengan Pengendali Data Pribadi?,"Pengendali Data Pribadi adalah individu, badan publik, atau organisasi internasional yang menentukan tujuan dan melakukan kendali atas pemrosesan Data Pribadi.","Correct 
Pengendali Data Pribadi adalah setiap orang, badan publik, dan organisasi internasional yang bertindak sendiri-sendiri atau bersama-sama dalam menentukan tujuan dan melakukan kendali pemrosesan Data Pribadi.","UU Nomor 27 Tahun 2022
Page 2 Paragraph 1
Number 4
"
,Apa hak yang dimiliki Subjek Data Pribadi?,"Subjek Data Pribadi memiliki hak untuk mendapatkan informasi, memperbarui, memperbaiki, mengakses, dan menghapus Data Pribadi mereka.","Correct 
Subjek Data Pribadi berhak melengkapi, memperbarui, dan/atau memperbaiki kesalahan dan/atau ketidakakuratan Data Pribadi tentang dirinya sesuai dengan tujuan pemrosesan Data Pribadi.

Note:
Different in the last sentence oi the answer “mengakses, dan menghapus Data Pribadi mereka.”","UU Nomor 27 Tahun 2022
Page 5  Paragraph 3
"
,Bagaimana Pengendali Data Pribadi harus menjaga kerahasiaan Data Pribadi?,Pengendali Data Pribadi harus menerapkan teknis dan operasional untuk melindungi Data Pribadi dari akses tidak sah dan mengawasi setiap pihak yang terlibat dalam pemrosesan Data Pribadi.,"Correct 
Pengendali Data Pribadi wajib melakukan pengawasan terhadap setiap pihak yang terlibat dalam pemrosesan Data Pribadi di bawah kendali Pengendali Data Pribadi.

Pengendali Data Pribadi wajib mencegah Data Pribadi diakses secara tidak sah.","UU Nomor 27 Tahun 2022
Page 16 Paragraph 3 & 4
Pasal 36 and Pasal 39 (a)
"
,Apa yang dimaksud dengan pemrosesan Data Pribadi?,"Pemrosesan Data Pribadi meliputi pemerolehan, pengumpulan, pengolahan, penyimpanan, penampilan, pengungkapan, penghapusan, atau pemusnahan Data Pribadi.","Correct 
(1) Pemrosesan Data Pribadi meliputi:
a. pemerolehan dan pengumpulan;
b. pengolahan dan penganalisisan;
c. penyimpanan;
d. perbaikan dan pembaruan;
e. penampilan, pengumuman, transfer,
penyebarluasan, atau pengungkapan; dan/ atau
f. penghapusan atau pemusnahan.

Note:
The answer does not contain point d.","UU Nomor 27 Tahun 2022
Page 8 Paragraph 2
Number 1
"
,Bagaimana Pengendali Data Pribadi harus menangani permintaan akses dan penghapusan Data Pribadi oleh Subjek Data Pribadi?,Pengendali Data Pribadi harus memberikan akses dan memberikan salinan Data Pribadi dalam 3 x 24 jam dan harus menghapus Data Pribadi setelah permintaan penghapusan.,"Incorrect
(2) Akses sebagaimana dimaksud pada ayat (1) diberikan paling lambat 3 x 24 (tiga kali dua puluh empat) jam terhitung sejak Pengendali Data Pribadi menerima permintaan akses.

Note:
The explanation remains consistent but differs from what is found in the document.","UU Nomor 27 Tahun 2022
Page 14 Paragraph 4
Number 2
"
,Bagaimana Pengendali Data Pribadi harus menangani kegagalan Pelindungan Data Pribadi?,Pengendali Data Pribadi harus memberitahu Subjek Data Pribadi dan lembaga terkait dalam 3 x 24 jam dan melakukan upaya untuk menangani dan memulihkan terungkapnya Data Pribadi.,"Correct 
1) Dalam hal terjadi kegagalan Pelindungan Data Pribadi, Pengendali Data Pribadi wajib pemberitahuan secara tertulis paling lambat 3 x 24 (tiga kali dua puluh empat) jam kepada:
a. Subjek Data Pribadi; dan
b. lembaga.

(2)   Pemberitahuan   tertulis  sebagaimana  dimaksud  pada ayat (1) minimal memuat:
a.   Data Pribadi yang terungkap;
b.   kapan dan bagaimana Data Pribadi terungkap; dan

c. upaya penanganan dan pemulihan  atas terungkapnya Data Pribadi oleh Pengendali Data Pribadi.","UU Nomor 27 Tahun 2022
Page 19 Paragraph 2
Number 1 and 2
"
,Apa yang dimaksud dengan transfer Data Pribadi?,Transfer Data Pribadi adalah perpindahan Data Pribadi dari Pengendali Data Pribadi ke Pengendali Data Pribadi lain atau ke luar wilayah hukum Negara Republik Indonesia.,"Correct 
Pengendali Data Pribadi dapat melakukan transfer Data Pribadi kepada Pengendali Data Pribadi dan/atau Prosesor Data Pribadi di luar wilayah hukum Negara Republik Indonesia sesuai dengan ketentuan yang diatur dalarn Undang- Undang ini.","UU Nomor 27 Tahun 2022
Page 24 Paragraph 2
Number 1
"
,Bagaimana sanksi yang dikenai terhadap pelanggaran Undang-Undang Pelindungan Data Pribadi?,"Sanksi dapat berupa peringatan tertulis, penghentian sementara kegiatan pemrosesan Data Pribadi, penghapusan atau pemusnahan Data Pribadi, dan/atau denda administratif.","Correct 
(2) Sanksi administratif sebagaimana dimaksud pada
ayat (l) berupa:
a. peringatan tertulis;
b. penghentian sementara kegiatan pemrosesan Data Pribadi;
c. penghapusan atau pemusnahan Data Pribadi; dan/atau
d. denda administratif.","UU Nomor 27 Tahun 2022
Page 25 Paragraph 2
Number 2
"
,Siapa yang bertanggung jawab untuk penyelenggaraan Pelindungan Data Pribadi?,Pemerintah bertanggung jawab untuk penyelenggaraan Pelindungan Data Pribadi dengan menetapkan lembaga yang bertanggung jawab kepada Presiden.,"Incorrect 
(1) Pemerintah berperan dalam mewujudkan penyelenggaraan Pelindungan Data Pribadi sesuai dengan ketentuan Undang-Undang ini. 
(2) Penyelenggaraan Pelindungan Data Pribadi sebagaimana dimaksud pada ayat (1) dilaksanakan oleh lembaga. 
(3) Lembaga sebagaimana dimaksud pada ayat (21 ditetapkan oleh Presiden.

Note:
The answer is not quite accurate.","UU Nomor 27 Tahun 2022
Page 26 Paragraph 1
Number 1-3
"
,Bagaimana masyarakat dapat berperan dalam Pelindungan Data Pribadi?,"Masyarakat dapat berperan melalui pendidikan, pelatihan, advokasi, sosialisasi, dan pengawasan sesuai dengan ketentuan peraturan perundang-undangan.","Correct 
(1) Masyarakat dapat berperan baik secara langsung maupun tidak langsung dalam mendukung terselenggaranya Pelindungan Data Pribadi. 
(2) Pelaksanaan peran sebagaimana dimaksud pada ayat (1) dapat dilakukan melalui pendidikan, pelatihan, advokasi, sosialisasi, dan/ atau pengawasan sesuai dengan ketentuan peraturan perundang -undangan.","UU Nomor 27 Tahun 2022
Page 28 Paragraph 4
Number 1-2
"
,Apa yang dimaksud dengan data dan informasi kesehatan?,"Data dan informasi kesehatan adalah catatan atau keterangan individu yang berkaitan dengan kesehatan fisik, kesehatan mental, dan/atau pelayanan kesehatan.","Correct 
Yang dimaksud dengan ""data dan informasi kesehatan"" adalah catatan atau keterangan individu yang berkaitan dengan kesehatan fisik, kesehatan mental, dan/atau pelayanan kesehatan.","UU Nomor 27 Tahun 2022
Page 38 Paragraph 1
Ayat (2) Huruf a
"
,Bagaimana Pengendali Data Pribadi harus memperbarui dan memperbaiki Data Pribadi?,Pengendali Data Pribadi harus memperbarui dan memperbaiki Data Pribadi paling lambat 3 x 24 jam setelah menerima permintaan pembaruan dan/atau perbaikan.,"Correct 
(1)  Pengendali Data Pribadi wajib memperbarui dan/ atau memperbaiki kesalahan dan/atau ketidakakuratan Data Fribadi paling lambat 3 x 24 (tiga kali dua puluh empat) jam terhitung sejak Pengendali Data Pribadi menerima permintaan pembaruan dan/atau perbaikan Data Pribadi.","UU Nomor 27 Tahun 2022
Page 14 Paragraph 2
Number 1
"
,Apa yang dimaksud dengan data biometrik?,"Data biometrik adalah data yang berkaitan dengan fisik, fisiologis, atau karakteristik perilaku individu yang memungkinkan identifikasi unik terhadap individu, seperti gambar wajah atau data daktiloskopi.","Correct 
Yang dimaksud dengan ""data biometrik” adalah data yang berkaitan dengan fisik, fisiologis, atau karakteristik perilaku individu yang memungkinkan identilikasi unik terhadap individu, seperti gambar wajah atau data daktiloskopi. Data biometrik juga menjelaskan pada sifat keunikan dan/atau karakteristik seseorang yang harus ddaga dan dirawat, termasuk narnun tidak terbatas pada rekam sidik jari, retina mata, dan sampel DNA.","UU Nomor 27 Tahun 2022
Page 38 Paragraph 1
Ayat (2) Huruf b
"
,Bagaimana Pengendali Data Pribadi harus menangani pemrosesan Data Pribadi anak?,Pemrosesan Data Pribadi anak harus mendapat persetujuan dari orang tua anak dan/atau wali anak sesuai dengan ketentuan peraturan perundang-undangan.,"Correct 
(2) Pemrosesan Data Pribadi anak sebagaimana dimaksud pada ayat (1) wajib mendapat persetujuan dari orang tua anak dan/ atau wali anak sesuai dengan ketentuan peraturan perundang-undangan.","UU Nomor 27 Tahun 2022
Page 13 Paragraph 1
Number 1
"
,Bagaimana Pengendali Data Pribadi harus menangani pemrosesan Data Pribadi disabilitas?,Pemrosesan Data Pribadi disabilitas harus diselenggarakan secara khusus dan mendapat persetujuan dari penyandang disabilitas dan/atau wali penyandang disabilitas.,"Correct 
(1) Pemrosesan Data Pribadi disabilitas ' diselenggarakan secara khusus. secara disabilitas dilakukan 
(2) Pemrosesan Data Pribadi penyandang sebagaimana dimaksud pada ayat (1) melalui komunikasi dengan cara tertentu sesuai dengan ketentuan undangan. 
(3) Pemrosesalr Data Pribadi penyandang disabilitas sebagaimana dimaksud pada ayat (2) wajib mendapat persetujuan dari penyandang disabilitas dan/ atau wali penyandang disabilitas sesuai dengan ketentuan peraturan perundang-undangan.","UU Nomor 27 Tahun 2022
Page 13  Paragraph 2"
,Apa yang dimaksud dengan pemrosesan Data Pribadi secara terbatas dan spesifik?,Pemrosesan Data Pribadi secara terbatas dan spesifik berarti数据处理应该根据数据处理的目的进行限制，并且目的应该是明确、合法和透明的。,"Incorrect 
Yang dimaksud dengan ""secara terbatas dan spesifik” adalah Pengumpulan Data Pribadi hanrs terbatas sesuai dengan tujuan pemrosesannya serta tujuan pernrosesan Data Pribadi harus secara eksplisit, sah, dan telah ditentukan pada saat Pengumpulan Data Pribadi.","UU Nomor 27 Tahun 2022
Page 44 Paragraph 1
Pasal 27
"
